D2.May15	D2.Jun15	D2.Jul15	D2.Aug15	D2.Oct15	D2.Nov15	D2.Dec15	D2.Jan16	D2.Feb16	D2.Mar16	D2.Apr16	D2.May16	D2.Jun16	D2.Jul16	D2.Aug16	D2.Sep16	D2.Oct16	D2.Nov16	D2.Dec16	D2.Jan17	D2.Feb17	D2.Mar17	D2.Apr17	D2.May17	D2.Jun17	D2.Jul17	D2.Aug17	D2.Sep17	D2.Oct17	D2.Nov17	D2.Dec17	D2.Jan18	D2.Feb18	D2.Mar18	D2.Apr18	D2.May18	D2.Jun18	D2.Aug18	D2.Sep18	D2.Oct18	D2.Nov18	D2.Dec18	D2.Jan19	D2.Feb19	D2.Apr19	D2.May19	D2.Jun19	D2.Jul19_STR	D2.Aug19	D2.Sep19	D2.Oct19	D2.Nov19	D2.Dec19	D2.Jan20	D2.Feb20	D2.Apr20	D2.May20	D2.Jun20	D2.Jul20	D2.Aug20	D2.Sep20	D2.Oct20	D2.Nov20	D2.Dec20	D2.Jan21	D2.Feb21
MAST-12B XX sp.	0	0	0	0	0	0	0.000697639339316691	2.02146799005438e-05	0.00103154685840095	0	0.0010388138634432	0	0	0	0	0	0	0	0.000401606425702811	7.90097445351593e-05	0.000125825731362064	0	2.07009336121059e-05	0	0	0	0	0	0	0	0	0	0.00068073519400953	9.97174671763337e-05	0.000871468525799522	0	9.14620203960306e-05	0	0	0	0.000146911519198664	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000442813765182186	0	0	0	0	0	0	0	0	4.46299065003459e-05	0	0
Dino-Group-I-Clade-5	0	9.26097425449157e-05	2.33377675091601e-05	0	0	1.91343614863572e-05	5.65653518364884e-05	0.00016171743920435	0	4.60267415368329e-05	0	0	3.66851315161965e-05	0	0	0	0	0.000345178054346367	8.60585197934596e-05	2.63365815117198e-05	2.09709552270106e-05	0.00190193829888401	6.21028008363177e-05	6.77552679720848e-05	0	0	0	0	0	1.81765304638651e-05	0.0001124552187254	4.39676398170946e-05	1.47985911741202e-05	0.000587225084482854	0	0	0	0	0	0	0.000440734557595993	0.00200948741599684	0.000552703154771428	0.000883348873730186	0.000268456375838926	0	0	0	0	0	0	0.000286226767927337	0.000165586902076046	1.5106652969968e-05	0	0	1.61090258872046e-05	0	0	0	0	0	0	0	2.06462269020337e-05	0.00019526165061182
Protodinium simplex	0.0194396177237185	3.08699141816386e-05	2.33377675091601e-05	0.000323090178058587	4.93254741411202e-05	0	1.88551172788295e-05	0	1.53962217671783e-05	0	0	0.00442890442890443	0.00144906269488976	0.000212224108658744	0	0	0	3.83531171495963e-05	0	2.63365815117198e-05	0	0.000139848404329707	0	0.00013551053594417	0.000206454071909541	0.000214817643689135	0	0	0	1.81765304638651e-05	0	0	0.000251576049960044	2.21594371502964e-05	0.000202667099023145	0	0.00466456304019756	0.00171595168679717	0	6.63272920224849e-05	0	0	1.4544819862406e-05	0	0.00187919463087248	0.00120487112182108	0.000384853504676807	0.00411076074606478	1.52121331974383e-05	0	3.89458652473062e-05	0	4.13967255190114e-05	1.5106652969968e-05	0	0.00240122853552981	0.0153357926446188	0.000230125523012552	0.000208328993145976	0	5.72617434292149e-05	0.00137083950211109	0.000101978380583316	0	0	0
Pycnococcaceae	0.00108601216333623	0.000926097425449157	0.000326728745128241	0.000143595634692705	0.000320615581917281	0.00237266082430829	0.0103514593860774	0.015464230123916	0.00829856353250912	0.0134398085287552	0.00778166021342903	0.0168414918414918	0.000238453354855277	0.000117902282588191	0.000245721554116559	0.000215065326092801	0.000586923347810776	0.00556120198669147	0.00375788869764773	0.00402949697129313	0.00528468071720667	0.0127821441557352	0.00382967271823959	0.00179551460126025	0.000698767628001525	0.000310292151995417	0.00019017088212122	0.0119545876043207	0	0.00414424894576123	0.00515687503012193	0.0131902919451284	0.0468671382484388	0.0177275497202371	0.0414048883304284	0.00418111645597942	0.00146339232633649	4.99791753436068e-05	0	0.000630109274213607	0.00056093489148581	0.00471076558176308	0.00753421668872631	0.00332073743272644	0.011006711409396	0.000645466672404148	0.000150594849656142	1.27663377206981e-05	0.000212969864764136	7.9838194592293e-05	0.00733480462157601	0.00581994428118918	0.00312545277668536	0.0123421354764638	0.018787955465587	0.00368560658941784	0.000161090258872046	4.18410041841004e-05	0.000291660590404367	0.000504143428805495	0.000706228168960318	0.0043866864067555	0.00464001631654089	0.00738624952580724	0.0148446371425622	0.00514189013277792
Prymnesiophyceae Clade B3 X sp.	0	0	2.33377675091601e-05	7.17978173463527e-05	2.46627370705601e-05	0.000210477976349929	0.000113130703672977	0.00222361478905982	0.00272513125279057	0.01337076841645	0.00368306733402588	5.82750582750583e-05	3.66851315161965e-05	4.71609130352764e-05	0	1.79221105077334e-05	0	0.000230118702897578	0.000172117039586919	0.000158019489070319	0.000650099612037328	0.000503454255586944	0.000186308402508953	0	0	0	0	2.50620285205885e-05	0	7.27061218554602e-05	0.0001124552187254	0.000395708758353852	0.0010950957468849	0.00199434934352667	0.000466134327753233	0	4.57310101980153e-05	0	0	0	9.34891485809683e-05	0.000329424166556859	0.00159993018486466	0.00193028087222522	0	4.30311114936099e-05	0	0	0	0	3.89458652473062e-05	3.81635690569782e-05	8.27934510380229e-05	0.000317239712369327	6.32591093117409e-05	0	0	0	0	0	0	0	0	0.000245464485751902	0.000330339630432538	0.00143191877115335
Dino-Group-II-Clade-1 X sp.	0.000135751520417029	0.0017595851083534	0.000326728745128241	0.000143595634692705	0.00897723629368387	0.00541502430063909	0.0267177011841014	0.00527603145404193	0.00529630028790935	0.00536211538904103	0.000642175842855794	0.000582750582750583	0.00163248835247074	0.00136766647802301	0.000708256244218316	0.0001075326630464	0.00254333450718003	0.00475578652654995	0.00246701090074584	0.0071898867526995	0.00125825731362064	0.000867060106844181	0.00293953257291904	0.000542042143776679	0.00227099479100495	0.00167080389535994	0.00673748268086609	0.00135334954011178	0.0103839652257909	0.02290242838447	0.0206596301829807	0.00760640168835737	0.0012430816586261	0.00132956622901778	0.000141866969316201	0.000391542678151919	0.000228655050990076	0.0158433985839234	0.000140429714927679	0.0096008755202547	0.0359265442404007	0.00894386612201871	0.00730149957092781	0.00603621730382294	0.00375838926174497	0.000516373337923319	0.00169000886836337	0.0101620048256757	0.00524818595311621	0.0139317649563551	0.00385564065948332	0.0187383124069763	0.0174694181690228	0.0027343041875642	0.000569331983805668	0.00307133882451487	0.000547706880164956	0.00125523012552301	0.000562488281494135	0.00340296814443709	0.00700501994617396	0.00153534024236442	0.0028044054660412	0.00357039252002767	0.00375761329617012	0.00424694090080708
MAST-12D X	0	0	0	0	0	0	7.54204691153179e-05	6.06440397016313e-05	1.53962217671783e-05	0.000529307527673578	0	0	0	0	0	0	0	5.75296757243945e-05	0.000114744693057946	0.000158019489070319	2.09709552270106e-05	0	2.07009336121059e-05	0	0	0	0	0	0	0	0	0	0.000281173232308284	2.21594371502964e-05	0.000263467228730088	0.000125853003691688	0	0	0	0	0	1.64712083278429e-05	0	0.000245374687147274	0	2.15155557468049e-05	0	0	0	0	0	0.000477044613212228	0.000206983627595057	0.000166173182669648	0	0	0	0	0	0	0	0	0	6.69448597505188e-05	0.000350985857334572	0.000113902629523562
Dino-Group-II	0.000488705473501303	0.00984750262394271	0.00571775303974422	0.00104106835152211	0.00739882112116803	0.00168382381079943	0.00213062825250773	0.0147162869675959	0.0436790811534849	0.00133477550456815	0.00336197941259798	0.0113636363636364	0.00264132946916615	0.00971514808526693	0.0071981961147086	0.00681040199293869	0.0144970066909262	0.0113141695591309	0.00103270223752151	0.00658414537792994	0.000692041522491349	0.00444717925768467	0.0027946260376343	0.00301510942475777	0.00204865963664083	0.011003437082299	0.00486294112852835	0.00481190947595298	0.0306689205505916	0.0101425039988367	0.0235192057448552	0.0119298862703717	0.00288572527895344	0.00627112071353388	8.10668396092578e-05	0.00648842152366036	0.00146339232633649	0.00233236151603499	0.000140429714927679	0.00167476412356775	0.0120601001669449	0.0224173145341942	0.0217008712347098	0.00322258755786753	0.0133333333333333	0.00195791557295925	0.00376487124140354	0.0337031315826429	0.00762127873191658	0.0792261017670854	0.00288199402830066	0.120138915391367	0.0870573137664811	0.00345942353012267	0.00126518218623482	0.0127600167527572	0.00494547094737181	0.00619246861924686	0.00281244140747068	0.00444276396634843	0.0112423889599359	0.00246751110379997	0.000662859473791556	0.00794412335706157	0.00249819345514607	0.00528833637073679
Tergestiellaadriatica	0.00485990443092963	0.000401308884361301	0	0	0	0	0	0	0	0	0	0.000174825174825175	9.17128287904912e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000903653341365808	0	0	0	0	0	0	0	0	0	0.000753874075108195	0.000273853440082478	0	0.000166663194516781	9.45268929010303e-05	0	0	0	0	0	0
Dino-Group-II-Clade-16 X sp.	0	0.000771747854540964	2.33377675091601e-05	3.58989086731763e-05	0.000271290107776161	0.00859132830737438	0.00908816652839581	0.0272089591461319	0.00457267786485197	0.00230133707684165	5.66625743696289e-05	0.000582750582750583	0.000238453354855277	0.0210573476702509	0	3.58442210154668e-05	0	0.000402707730070762	0	0	4.19419104540212e-05	0.000755181383380416	0	6.77552679720848e-05	0.000158810824545801	0.00331773916364331	0.00016300361324676	0.000526302598932358	0.000965950253561942	0	6.42601249859431e-05	0.0187009028022042	0.0066593660283541	0.00582793197052795	0.000263467228730088	0	9.14620203960306e-05	0.000183256976259892	0	0.000215563699073076	0.000253756260434057	4.94136249835288e-05	0.000203627478073684	0.000245374687147274	0.00143176733780761	0	0.000150594849656142	8.93643640448864e-05	0.00170375891811309	3.99190972961465e-05	0	7.63271381139564e-05	0.000765839422101712	0.000770439301468367	0.000253036437246964	0	0.000144981232984841	6.27615062761506e-05	0	0	3.81744956194766e-05	5.48335800844437e-05	0.00351825413012441	0.000669448597505188	0.00363373593475792	0.0015132777922416
