LUR20.Feb15	LUR20.Mar15	LUR20.Apr15	LUR20.May15	LUR20.Jun15	LUR20.Jul15	LUR20.Aug15	LUR20.Sep15	LUR20.Oct15	LUR20.Nov15	LUR20.Jan16	LUR20.Feb16	LUR20.Mar16	LUR20.Abr16	LUR20.May16	LUR20.Jun16	LUR20.Jul16	LUR20.Aug16	LUR20.Sep16	LUR20.Nov16	LUR20.Dec16	LUR20.Jan17	LUR20.Feb17	LUR20.Mar17	LUR20.Apr17	LUR20_May17	LUR20.Jun17	LUR20.Jul17	LUR20.Aug17	LUR20.Sep17	LUR20.Oct17	LUR20.Nov17	LUR20.Jan18	LUR20.Feb18	LUR20.Mar18	LUR20.Apr18	LUR20.May18	LUR20.Jun18	LUR20.Jul18	LUR20.Aug18	LUR20.Sep18	LUR20.Oct18	LUR20.Nov18	LUR20.Feb19	LUR20.Mar19	LUR20.Apr19	LUR20.Jul19_STR	LUR20.Aug19	LUR20.Sep19	LUR20.Oct19	LUR20.Nov19	LUR20.Dec19	LUR20.Jan20	LUR20.Feb20	LUR20.Mar20	LUR20.Apr20	LUR20.May20	LUR20.Jun20	LUR20.Jul20	LUR20.Aug20	LUR20.Sep20	LUR20.Oct20	LUR20.Nov20	LUR20.Dec20	LUR20.Jan21	LUR20.Feb21
MAST-12B XX sp.	0	0.00264799085502612	0	0	0	0	0	0	0	0.000213651395236503	0	0.00209346299297677	0.00065271909031571	0.000841071963499781	0	0	0	0	0	0.000307900121173596	0	8.21737701325737e-05	0.000532128623090038	0	0.000240171445462607	2.91519692155205e-05	0	0	0	0	0	0	0	0.00184609405363389	0.000223976706422532	0.000367459668338015	0	0	0	0	0	0	5.27314912465725e-05	4.62698767678949e-05	8.14411831775092e-05	0.00020257267294642	0	0	0	0	0	0	5.47585149490746e-05	0.000101675614120709	3.74475733972439e-05	0	0	0	0	0	0	0	4.15196180195142e-05	3.55492356914326e-05	0	0
Dino-Group-I-Clade-5	0	0	8.81823106284879e-05	8.80488377553416e-05	0	0	0	0	0	0	0.000859888214532111	0	0	5.76076687328617e-05	0.000265064499028097	0.000303589643950066	0	9.4512598529384e-06	0	9.93226197334181e-05	0.000183503073676484	0.000356086337241153	0.00010859767818164	0.00629624523185808	3.69494531480934e-05	0	1.29436433767377e-05	0	0	0	0	0	3.47306637029834e-05	0	0	7.11212261299385e-05	0	0	0	0	0	0	0	0.00126470996498913	0.00193830015962472	0	0	0	0	3.31180659049512e-05	0.000115615847078773	6.98454088284597e-05	0	0	7.48951467944877e-05	0.00013204806549584	0	0	0	0	0	0	0	0	0.000187149095446039	9.32429912351588e-05
Protodinium simplex	0.000516256063007252	0	0.000277144404832391	0	6.17843314935332e-05	0	0	0.000376860749952892	0.000385544646070015	0	0	0	3.43536363324058e-05	0	7.36290275078047e-05	7.28615145480157e-05	0	0	0	0	0	1.36956283554289e-05	2.17195356363281e-05	0	0	4.37279538232808e-05	1.29436433767377e-05	2.82597637483751e-05	0	0	8.03509730502836e-05	0	0	0.000485814224640497	0.000167982529816899	0	0.0098844027475289	0.00730688935281837	0.0473684210526316	0.000351679268507122	0	0	0	0	0	0.00506431682366049	0.000176782557454331	0	0.000322692174714763	0	0.000115615847078773	9.31272117712796e-05	0	0	3.74475733972439e-05	0	0.00352021979908989	3.11710981577881e-05	0	0	0.000398697587879593	1.92008601985369e-05	0	0	0	3.10809970783863e-05
Pycnococcaceae	0.0229073620515776	0.0102157461401554	0.00162507401015356	0.0155259450575252	0.00115330752121262	0	0.00178995671559215	0.00113058224985868	0.00804503161466098	0.0112027644632705	0.0267665203523542	0.0147121247202284	0.00656154453948951	0.00618706362190935	0.0025622901572716	0.000121435857580026	0.000107153381135647	0.000831710867058579	0.00152474048081542	0.0060586798037385	0.0204911765605407	0.0124082392900186	0.0123692755448889	0.00746817408888276	0.00158882648536802	0.00376060402880215	0.00176033549923633	0.0020818025961303	0.0282324058919804	0.00701632165605096	0.000449965449081588	0.0078248862067202	0.00711978605911159	0.00495530509133307	0.00991096925919704	0.00160022758792362	0.0168369911207908	0.00521920668058455	0.00040045766590389	0	0	0.257615460203079	0.0163467622864375	0.00755741320542283	0.00550542398279962	0.0214727033323205	5.89275191514437e-05	0.000690083500103513	0.000437939379970036	0.00139095876800795	0.00354555264374904	0.0117107468802384	0.0255174679662688	0.00858142183178786	0.00293963451168364	0.00277300937541265	1.71718038979995e-05	0.000249368785262305	0.000118375882886793	0.000111252030349554	0.000132899195959864	0.00424339010387665	0.00224205937305377	0.00821187344472094	0.0303181534622583	0.00382296264064151
Prymnesiophyceae Clade B3 X sp.	0.000456226288238967	0.000173638744591877	0	0	0	0	0	0	0	0.000167205439750307	0.00316958795356604	0.00245041290422166	0.00906935999175513	0.00488513030854667	4.41774165046828e-05	0	0	0	2.08868559015811e-05	0.000456884050773723	0.000519925375416705	0.000424564479018297	0.000727604443816991	0.000413621949538122	7.38989062961868e-05	1.45759846077603e-05	0	9.41992124945835e-06	0	0	1.60701946100567e-05	0	0.000138922654811933	0.000291488534784299	0.00240774959404222	0.00176617711556014	0	0	0	0	0	0	0.00021092596498629	0.00724894736030353	0.00118904127439163	0.000405145345892839	0	0	0	0	0	4.65636058856398e-05	0.000438068119592597	0.000610053684724256	0.0442068603954464	0	0	0	0	0	0	1.92008601985369e-05	0	7.10984713828653e-05	0.00040548970679975	0.00220675079256543
Dino-Group-II-Clade-1 X sp.	0.00080439898189502	0.011749555050717	0.00256988448117308	0.000836463958675746	0.0020388829392866	0.000397851601352695	0.00113906336446773	0.0012247974373469	0.00813499203207732	0.00218295990785122	0.00405947226860508	0.00335725862468164	0.002370400906936	0.00197018227066387	0.00603758025563998	0.00327876815466071	0.000464331318254471	0.00047256299264692	0.00155607076466779	0.00155936512981466	0.00544392451906903	0.0111071545962529	0.00350770500526699	0.00505537938324372	0.0011454330475909	0.000670495291956972	0.00273110875249165	0.00147892763616496	0.000595149531319744	0.00318471337579618	0.00748871068828643	0.011098041221296	0.0106275830931129	0.00239668350822645	0.00167982529816899	8.29747638182616e-05	0.000502596749874351	0.00243562978427279	0	0.000193423597678917	0	0.000655093350802489	0.0057477325458764	0.00530561253605195	0.00281786493794182	0.00121543603767852	0.00452268709487331	0.00495479953074322	0.00248933963351389	0.00809736711376056	0.0219670109449669	0.00630936859750419	0.00334026941189355	0.00130144786074508	0.000131066506890353	0.00382939389937937	1.71718038979995e-05	0.00149621271157383	0.000434044903918242	0.00445008121398216	0.00106319356767892	0.00326414623375127	0.00631098193896616	0.00351937433345183	0.00368059887710543	0.00301485671660347
MAST-12D X	2.4011909907314e-05	5.78795815306255e-05	2.51949458938537e-05	0	0	0	0	0	0	3.7156764388957e-05	1.99974003379561e-05	0.000183298603071699	0.000858840908310145	9.21722699725788e-05	2.94516110031219e-05	0	1.78588968559412e-05	0	0	5.95935718400509e-05	0	0.000602607647638874	0.00010859767818164	0.000712348913093433	1.84747265740467e-05	7.28799230388013e-05	0	1.88398424989167e-05	0	0	0	0	6.94613274059667e-05	0	0.000111988353211266	2.37070753766462e-05	0	0	0	0	0	0	0	0.000524391936702809	0.00017917060299052	0	0	1.38016700020703e-05	0	4.96770988574267e-05	0.00104054262370896	0.000209536226485379	0.000109517029898149	6.10053684724256e-05	0.000224685440383463	0	0	0	0	0.000111252030349554	0	0	0	3.55492356914326e-05	0.00049906425452277	9.32429912351588e-05
Dino-Group-II	0.00515055467511886	0.0027203403319394	0.00424534838311435	0.0019077248180324	0.017649724029986	0.00517207081758504	0.00398672177563706	0.00103636706237045	0.00598879350228756	0.000780292052168097	0.0088288522492076	0.0240796480666821	0.00546222817685252	0.00220061294559532	0.00385816104140896	0.00340020401224073	0.00358070881961621	0.0251214486891103	0.01545627336717	0.00365507240618979	0.0113466067223293	0.00677933603593733	0.0124018548483433	0.00248173169722873	0.00277120898610701	0.00335247645978486	0.00318413627067747	0.00336291188605663	0.00148787382829936	0.0315485668789809	0.0124222604335739	0.0084897458190559	0.0155593373389365	0.000744915144448763	0.00296769136009855	2.37070753766462e-05	0.0020103869994974	0.00208768267223382	0.00120137299771167	0.000861614207842448	0.000168548794876117	0.000491320013101867	0.0215671799198481	0.00219010750034702	0.00206860605270873	0.00526688949660691	0.00489098408956983	0.0239458974535919	0.0109254350581998	0.00442126179831098	0.0628950208108525	0.0355047494878003	0.00766619209287044	0.00467707824955263	0.000168514080287597	0.0106958933051631	0.000497982313041985	0.0129360057354821	0.00477449394310066	0.00874440958547494	0.00491727025051498	0.00441619784566349	0.00170230433880008	0.00504799146818343	0.00845290081097941	0.00366755765524958
Tergestiellaadriatica	0	0	7.55848376815611e-05	0.000498943413946936	0.000144163440151578	0	0	0	0	0	0	0	0	0	2.94516110031219e-05	3.64307572740079e-05	8.9294484279706e-06	0	0	0	0	0	0	0	0	5.8303938431041e-05	2.58872867534754e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.21977642042181e-05	0	0	0	0	0	0	0.000396144196487521	8.58590194899974e-05	0	7.89172552578621e-05	0	0.000199348793939797	0	0	0	0	0
Dino-Group-II-Clade-16 X sp.	0.00303750660327522	5.78795815306255e-05	0.00134792960532117	0	0.000267732103138644	0.000994629003381739	0.00400299410941517	0	0.00917596257646635	0.000278675732917178	0.0256666633337666	0.0071968819942888	0.0167302208938816	0.000403253681130032	0.001207516051128	0.000133579443338029	0.000348248488690854	0	0	0.000178780715520153	0.000183503073676484	0.000438260107373726	0.000141176981636133	0.000896180890665931	1.84747265740467e-05	0	0.000854280462864687	0.000649974566212626	0.00137628329117691	0.000646894904458599	0.000289263502981021	0.000153429141308239	0.029173757510506	0.00421038994688431	0.00649532448625343	0.00103125777888411	0.000335064499916234	0	0.00040045766590389	0.000105503780552136	0	0	0.00021092596498629	0.000138809630303685	0	0	7.36593989393047e-05	0.000358843420053826	0	0	0.000462463388315092	0.000442354255913578	0.00706384842843062	0.00128111273792094	0.000561713600958658	0	3.4343607795999e-05	6.23421963155762e-05	7.89172552578621e-05	0.000111252030349554	0	5.76025805956107e-05	0.00440107951006851	0.00053323853537149	0.0165003119151591	0.000777024926959657
