Rank	Taxonpath	Taxon	D2.May15	D2.Jun15	D2.Jul15	D2.Aug15	D2.Oct15	D2.Nov15	D2.Jan16	D2.Feb16	D2.Mar16	D2.Apr16	D2.May16	D2.Jun16	D2.Jul16	D2.Aug16	D2.Oct16	D2.Nov16	D2.Dec16	D2.Jan17	D2.Feb17	D2.Mar17	D2.Apr17	D2.May17	D2.Jun17	D2.Jul17	D2.Aug17	D2.Sep17	D2.Nov17	D2.Dec17	D2.Jan18	D2.Feb18	D2.Mar18	D2.Apr18	D2.May18	D2.Jun18	D2.Aug18	D2.Nov18	D2.Dec18	D2.Jan19	D2.Feb19	D2.Apr19	D2.May19	D2.Jun19	D2.Jul19_STR	D2.Aug19	D2.Sep19	D2.Oct19	D2.Nov19	D2.Dec19	D2.Jan20	D2.Feb20	D2.Apr20	D2.May20	D2.Jun20	D2.Jul20	D2.Aug20	D2.Sep20	D2.Nov20	D2.Dec20	D2.Jan21	D2.Feb21	LUR20.Feb15	LUR20.Mar15	LUR20.Apr15	LUR20.May15	LUR20.Jun15	LUR20.Jul15	LUR20.Aug15	LUR20.Sep15	LUR20.Oct15	LUR20.Nov15	LUR20.Dec15	LUR20.Jan16	LUR20.Feb16	LUR20.Mar16	LUR20.Abr16	LUR20.May16	LUR20.Aug16	LUR20.Sep16	LUR20.Nov16	LUR20.Dec16	LUR20.Jan17	LUR20.Mar17	LUR20.Apr17	LUR20_May17	LUR20.Jun17	LUR20.Jul17	LUR20.Aug17	LUR20.Sep17	LUR20.Oct17	LUR20.Nov17	LUR20.Jan18	LUR20.Feb18	LUR20.Mar18	LUR20.Apr18	LUR20.May18	LUR20.Aug18	LUR20.Oct18	LUR20.Nov18	LUR20.Dec18	LUR20.Jan19	LUR20.Feb19	LUR20.Mar19	LUR20.Apr19	LUR20.Jul19_STR	LUR20.Aug19	LUR20.Sep19	LUR20.Oct19	LUR20.Nov19	LUR20.Dec19	LUR20.Jan20	LUR20.Feb20	LUR20.Mar20	LUR20.Apr20	LUR20.May20	LUR20.Jun20	LUR20.Jul20	LUR20.Aug20	LUR20.Sep20	LUR20.Oct20	LUR20.Nov20	LUR20.Dec20	LUR20.Jan21	LUR20.Feb21
root	root	root	13302	11470	6232	44776	35961	8316	7431	4983	6858	13022	8745	6128	6502	9599	49346	61700	37941	51770	48508	61472	34599	66218	47267	62169	64435	67299	53029	61786	76845	68506	50916	53194	83356	81218	74379	62586	55978	55982	53751	66157	51269	59397	44360	42863	60437	45455	47165	44025	66742	45093	47141	12711	52981	31176	53968	56730	36199	92737	42337	48650	8976	5600	56105	9357	12089	60722	24356	28903	10574	10747	55091	63351	7972	13672	12213	6629	8961	12251	47220	56593	54199	61061	61735	68648	54641	72421	70112	56796	73789	75626	40937	35310	31528	51460	58960	23855	74447	60860	61581	53566	36238	49762	40780	45375	57602	56382	47083	49530	38411	31629	40516	39987	46097	17216	52104	55388	51756	22228	54927	71908	58618	51522	32318
meta	Main genome	Main genome	13302	11468	6232	44776	35961	8316	7431	4983	6858	13022	8745	6128	6502	9599	49343	61700	37941	51770	48508	61472	34599	66218	47267	62169	64435	67298	53029	61786	76845	68505	50916	53194	83352	81216	74379	62586	55977	55982	53750	66157	51246	59387	44360	42863	60437	45455	47165	44024	66741	45093	47141	12711	52981	31176	53968	56730	36198	92737	42337	48649	8976	5600	56102	9357	12089	60722	24356	28903	10574	10747	55091	63351	7972	13672	12213	6629	8961	12251	47220	56593	54199	61061	61735	68647	54641	72421	70112	56796	73788	75137	40937	35310	31528	51460	58959	23855	74081	60859	61581	53566	36238	49762	40780	45375	57602	56382	47083	49529	38411	31628	40516	39987	46097	17216	52104	55388	51756	22223	54896	71899	58618	51522	32318
domain	Main genome;Bacteria	Bacteria	13289	11460	6219	44762	35798	8303	4602	4371	6798	13004	8738	6124	6498	9583	48677	60813	35018	50198	48347	60697	33908	66170	47267	62165	63567	67252	52114	58323	69212	68038	50302	53116	83142	81212	74325	61128	53495	53982	51377	66128	50750	59356	44354	42833	60366	44903	44889	40334	63594	43634	46938	12645	52976	31169	53965	56667	35999	89819	38842	43626	8749	5573	56027	9248	12088	60710	24352	28755	10540	10658	46856	56753	7635	13563	12202	6624	8958	12157	46623	54131	49611	60070	59154	67844	54595	72368	70095	56728	73754	73482	35910	34012	29722	51049	58828	23854	73813	60342	58918	50625	35628	46654	40544	45326	57532	55603	46052	47409	35580	29396	39025	39246	45944	17110	52088	55358	51737	22189	53350	70365	56491	44998	30611
domain	Main genome;Archaea	Archaea	13	8	13	14	163	13	2829	612	60	18	7	4	4	16	666	887	2923	1572	161	775	691	48	0	4	868	46	915	3463	7633	467	614	78	210	4	54	1458	2482	2000	2373	29	496	31	6	30	71	552	2276	3690	3147	1459	203	66	5	7	3	63	199	2918	3495	5023	227	27	75	109	1	12	4	148	34	89	8235	6598	337	109	11	5	3	94	597	2462	4588	991	2581	803	46	53	17	68	34	1655	5027	1298	1806	411	131	1	268	517	2663	2941	610	3108	236	49	70	779	1031	2120	2831	2232	1491	741	153	106	16	30	19	34	1546	1534	2127	6524	1707
superkingdom	Main genome;Bacteria;Bacteria (superkingdom)	Bacteria (superkingdom)	13289	11460	6219	44762	35798	8303	4602	4371	6798	13004	8738	6124	6498	9583	48677	60813	35018	50198	48347	60697	33908	66170	47267	62165	63567	67252	52114	58323	69212	68038	50302	53116	83142	81212	74325	61128	53495	53982	51377	66128	50750	59356	44354	42833	60366	44903	44889	40334	63594	43634	46938	12645	52976	31169	53965	56667	35999	89819	38842	43626	8749	5573	56027	9248	12088	60710	24352	28755	10540	10658	46856	56753	7635	13563	12202	6624	8958	12157	46623	54131	49611	60070	59154	67844	54595	72368	70095	56728	73754	73482	35910	34012	29722	51049	58828	23854	73813	60342	58918	50625	35628	46654	40544	45326	57532	55603	46052	47409	35580	29396	39025	39246	45944	17110	52088	55358	51737	22189	53350	70365	56491	44998	30611
superkingdom	Main genome;Archaea;Archaea (superkingdom)	Archaea (superkingdom)	13	8	13	14	163	13	2829	612	60	18	7	4	4	16	666	887	2923	1572	161	775	691	48	0	4	868	46	915	3463	7633	467	614	78	210	4	54	1458	2482	2000	2373	29	496	31	6	30	71	552	2276	3690	3147	1459	203	66	5	7	3	63	199	2918	3495	5023	227	27	75	109	1	12	4	148	34	89	8235	6598	337	109	11	5	3	94	597	2462	4588	991	2581	803	46	53	17	68	34	1655	5027	1298	1806	411	131	1	268	517	2663	2941	610	3108	236	49	70	779	1031	2120	2831	2232	1491	741	153	106	16	30	19	34	1546	1534	2127	6524	1707
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum	Proteobacteria superphylum	7114	5120	3300	21539	12696	2529	2849	2977	3984	8077	5284	3328	4076	3892	24550	22839	16839	23703	23080	38558	17536	31179	33756	34866	23136	15410	28014	33670	33146	34361	32499	18975	46613	51360	33818	20117	33249	46603	28287	33180	27819	39692	35369	27453	37204	26940	26827	23517	38940	25328	29558	4734	41346	23830	34449	33705	22288	59120	25253	27700	6344	4429	33567	5035	6765	24260	10371	4905	4553	5286	22833	36496	5334	10513	7317	4222	2746	6304	20149	32307	30169	35650	33668	30504	32230	33681	18717	21572	35042	47521	17674	20175	16532	28651	16568	8260	32236	43963	34904	22349	18564	24899	6972	31580	35734	31178	29016	26539	20415	18161	22714	22675	23153	4734	36273	27751	30943	6659	34114	46221	36673	29965	19776
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria	Terrabacteria	1805	81	363	7575	15978	4762	668	298	882	284	774	193	189	3970	4038	20023	3887	3683	5647	1782	4233	2676	1608	11565	22813	35565	9121	5719	7339	6532	2576	4709	4508	3927	12691	27553	6163	2759	3425	7146	2088	5988	1507	5606	7578	5582	4689	3473	9018	3884	3505	916	1380	1097	8841	8762	7700	6920	3668	5266	1199	124	2558	542	97	8058	5971	2937	3394	2950	5830	4589	403	184	178	181	3487	1134	11160	8010	4222	1056	2140	1320	3593	16259	42156	16205	15956	4039	2656	3255	2728	2714	2914	7911	13323	7113	4769	10623	3703	730	1838	863	7786	3773	6228	3822	3313	2913	3219	1986	1661	504	957	1101	4280	3125	4592	6907	4434	3916	1903
kingdom	Main genome;Bacteria;Bacteria (superkingdom);FCB group	FCB group	3001	6125	2522	14036	6312	916	857	1035	1696	4606	2647	2579	2119	1646	19100	13798	12637	21406	18928	20040	11984	31661	10958	13174	17043	14315	13157	16213	22664	24218	14734	26627	31702	24787	25098	11247	12641	3797	18622	25103	20376	13099	6107	8678	14109	9897	10670	11778	13423	13847	12925	5483	9207	5912	10000	12980	5368	21601	8241	9643	1027	1007	19655	3543	5143	28045	6704	10975	2427	2269	15981	12809	1805	2836	4686	2114	2668	4495	13313	10661	13799	23194	23214	35757	18142	20869	7545	17201	20454	18270	12395	9648	8918	19340	38323	7023	26645	7652	17466	13132	12253	20953	29945	11676	12852	19315	7604	14749	10704	6887	12088	14127	21031	10748	13369	25939	16013	8661	10789	15866	14268	8520	8548
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Acidobacteria superphylum	Acidobacteria superphylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
