Rank	Taxonpath	Taxon	D2.May15	D2.Jun15	D2.Jul15	D2.Aug15	D2.Oct15	D2.Nov15	D2.Jan16	D2.Feb16	D2.Mar16	D2.Apr16	D2.May16	D2.Jun16	D2.Jul16	D2.Aug16	D2.Oct16	D2.Nov16	D2.Dec16	D2.Jan17	D2.Feb17	D2.Mar17	D2.Apr17	D2.May17	D2.Jun17	D2.Jul17	D2.Aug17	D2.Sep17	D2.Nov17	D2.Dec17	D2.Jan18	D2.Feb18	D2.Mar18	D2.Apr18	D2.May18	D2.Jun18	D2.Aug18	D2.Nov18	D2.Dec18	D2.Jan19	D2.Feb19	D2.Apr19	D2.May19	D2.Jun19	D2.Jul19_STR	D2.Aug19	D2.Sep19	D2.Oct19	D2.Nov19	D2.Dec19	D2.Jan20	D2.Feb20	D2.Apr20	D2.May20	D2.Jun20	D2.Jul20	D2.Aug20	D2.Sep20	D2.Nov20	D2.Dec20	D2.Jan21	D2.Feb21	LUR20.Feb15	LUR20.Mar15	LUR20.Apr15	LUR20.May15	LUR20.Jun15	LUR20.Jul15	LUR20.Aug15	LUR20.Sep15	LUR20.Oct15	LUR20.Nov15	LUR20.Dec15	LUR20.Jan16	LUR20.Feb16	LUR20.Mar16	LUR20.Abr16	LUR20.May16	LUR20.Aug16	LUR20.Sep16	LUR20.Nov16	LUR20.Dec16	LUR20.Jan17	LUR20.Mar17	LUR20.Apr17	LUR20_May17	LUR20.Jun17	LUR20.Jul17	LUR20.Aug17	LUR20.Sep17	LUR20.Oct17	LUR20.Nov17	LUR20.Jan18	LUR20.Feb18	LUR20.Mar18	LUR20.Apr18	LUR20.May18	LUR20.Aug18	LUR20.Oct18	LUR20.Nov18	LUR20.Dec18	LUR20.Jan19	LUR20.Feb19	LUR20.Mar19	LUR20.Apr19	LUR20.Jul19_STR	LUR20.Aug19	LUR20.Sep19	LUR20.Oct19	LUR20.Nov19	LUR20.Dec19	LUR20.Jan20	LUR20.Feb20	LUR20.Mar20	LUR20.Apr20	LUR20.May20	LUR20.Jun20	LUR20.Jul20	LUR20.Aug20	LUR20.Sep20	LUR20.Oct20	LUR20.Nov20	LUR20.Dec20	LUR20.Jan21	LUR20.Feb21
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Main genome	Main genome	1.0	0.999825632084	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999939204799	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999985140938	1.0	1.0	1.0	0.999985402738	1.0	1.0	0.999952013052	0.999975374917	1.0	1.0	0.999982135839	1.0	0.999981395695	1.0	0.999551385828	0.999831641329	1.0	1.0	1.0	1.0	1.0	0.999977285633	0.999985016931	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999972374927	1.0	1.0	0.999979445015	1.0	1.0	0.99994652883	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999985432933	1.0	1.0	1.0	1.0	0.999986447845	0.993533969799	1.0	1.0	1.0	1.0	0.999983039349	1.0	0.995083750856	0.999983568847	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999979810216	1.0	0.999968383446	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999775058485	0.999435614543	0.999874840073	1.0	1.0	1.0
domain	Main genome;Bacteria	Bacteria	0.999022703353	0.999128160418	0.997913992298	0.9996873325	0.99546731181	0.998436748437	0.619297537344	0.877182420229	0.991251093613	0.998617723852	0.999199542596	0.999347258486	0.999384804675	0.998333159704	0.986442670125	0.985623987034	0.922959331594	0.969634923701	0.996680959842	0.987392634045	0.980028324518	0.999275121568	1.0	0.999935659251	0.986529060293	0.999301624095	0.982745290313	0.94395170427	0.900670180233	0.993168481593	0.987940922303	0.998533669211	0.997432698306	0.999926124751	0.999273988626	0.97670405522	0.955643288435	0.964274231003	0.955833379844	0.999561648805	0.989876923677	0.999309729448	0.999864743012	0.999300095654	0.998825222959	0.987856121439	0.951743877876	0.916161272005	0.952833298373	0.96764464551	0.995693769755	0.99480764692	0.999905626545	0.999775468309	0.999944411503	0.998889476467	0.994474985497	0.968534673323	0.917448095047	0.896731757451	0.974710338681	0.995178571429	0.998609749577	0.98835096719	0.999917280172	0.999802378051	0.99983576942	0.994879424281	0.996784565916	0.99171861915	0.850520048647	0.895850104971	0.957727044656	0.992027501463	0.999099320396	0.999245738422	0.999665215936	0.992327156967	0.987357052097	0.956496386479	0.915348991679	0.983770328033	0.958192273427	0.988288078313	0.999158141322	0.999268168073	0.999757530808	0.998802732587	0.999525674559	0.971649961653	0.877201553607	0.963239875389	0.942717584369	0.992013214147	0.99776119403	0.999958080067	0.991483874434	0.991488662504	0.956756142317	0.945095769705	0.983166841437	0.937542703268	0.994212849436	0.998920110193	0.998784764418	0.986183533752	0.978102499841	0.957177468201	0.926297154461	0.929400233963	0.963199723566	0.981468977418	0.99668091199	0.993842936803	0.999692921849	0.999458366433	0.999632892805	0.998245456181	0.97128916562	0.978542025922	0.963714217476	0.873374480804	0.947181137447
domain	Main genome;Archaea	Archaea	0.000977296647121	0.000697471665214	0.00208600770218	0.000312667500447	0.00453268818998	0.00156325156325	0.380702462656	0.122817579771	0.0087489063867	0.00138227614806	0.000800457404231	0.00065274151436	0.000615195324516	0.00166684029586	0.0134965346735	0.014376012966	0.0770406684062	0.030365076299	0.00331904015832	0.0126073659552	0.019971675482	0.000724878431846	0.0	6.43407486046e-05	0.0134709397067	0.000683516842747	0.0172547096872	0.0560482957304	0.0993298197671	0.00681692114559	0.0120590776966	0.00146633078919	0.00251931474639	4.92501662193e-05	0.000726011374178	0.02329594478	0.0443388474043	0.0357257689972	0.0441480158509	0.000438351194885	0.00967446215062	0.000521911881071	0.000135256988278	0.000699904346406	0.00117477704055	0.0121438785612	0.0482561221245	0.0838160136286	0.047151718558	0.0323553544896	0.00430623024543	0.00519235308001	9.43734546347e-05	0.000224531691044	5.5588496887e-05	0.00111052353252	0.00549738943065	0.0314653266765	0.0825519049531	0.103247687564	0.0252896613191	0.00482142857143	0.00133677925319	0.0116490328097	8.27198279428e-05	0.000197621949211	0.000164230579734	0.00512057571878	0.0032154340836	0.00828138085047	0.149479951353	0.104149895029	0.0422729553437	0.00797249853716	0.000900679603701	0.000754261577915	0.000334784064279	0.00767284303322	0.0126429479034	0.0435036135211	0.0846510083212	0.0162296719674	0.0418077265733	0.0116973546207	0.00084185867755	0.000731831927203	0.00024246919215	0.0011972674132	0.000460773285991	0.0218840081453	0.122798446393	0.0367601246106	0.0572824156306	0.00798678585309	0.00222184531886	4.19199329281e-05	0.00359987642215	0.00849490634243	0.0432438576834	0.0549042302953	0.0168331585628	0.0624572967324	0.005787150564	0.00107988980716	0.0012152355821	0.0138164662481	0.0218975001593	0.0428023420149	0.073702845539	0.0705681494831	0.036800276434	0.0185310225823	0.00331908801007	0.00615706319703	0.00030707815139	0.000541633566838	0.000367107195301	0.0015296023034	0.0281464489231	0.0213328141514	0.0362857825241	0.126625519196	0.0528188625534
superkingdom	Main genome;Bacteria;Bacteria (superkingdom)	Bacteria (superkingdom)	0.999022703353	0.999128160418	0.997913992298	0.9996873325	0.99546731181	0.998436748437	0.619297537344	0.877182420229	0.991251093613	0.998617723852	0.999199542596	0.999347258486	0.999384804675	0.998333159704	0.986442670125	0.985623987034	0.922959331594	0.969634923701	0.996680959842	0.987392634045	0.980028324518	0.999275121568	1.0	0.999935659251	0.986529060293	0.999301624095	0.982745290313	0.94395170427	0.900670180233	0.993168481593	0.987940922303	0.998533669211	0.997432698306	0.999926124751	0.999273988626	0.97670405522	0.955643288435	0.964274231003	0.955833379844	0.999561648805	0.989876923677	0.999309729448	0.999864743012	0.999300095654	0.998825222959	0.987856121439	0.951743877876	0.916161272005	0.952833298373	0.96764464551	0.995693769755	0.99480764692	0.999905626545	0.999775468309	0.999944411503	0.998889476467	0.994474985497	0.968534673323	0.917448095047	0.896731757451	0.974710338681	0.995178571429	0.998609749577	0.98835096719	0.999917280172	0.999802378051	0.99983576942	0.994879424281	0.996784565916	0.99171861915	0.850520048647	0.895850104971	0.957727044656	0.992027501463	0.999099320396	0.999245738422	0.999665215936	0.992327156967	0.987357052097	0.956496386479	0.915348991679	0.983770328033	0.958192273427	0.988288078313	0.999158141322	0.999268168073	0.999757530808	0.998802732587	0.999525674559	0.971649961653	0.877201553607	0.963239875389	0.942717584369	0.992013214147	0.99776119403	0.999958080067	0.991483874434	0.991488662504	0.956756142317	0.945095769705	0.983166841437	0.937542703268	0.994212849436	0.998920110193	0.998784764418	0.986183533752	0.978102499841	0.957177468201	0.926297154461	0.929400233963	0.963199723566	0.981468977418	0.99668091199	0.993842936803	0.999692921849	0.999458366433	0.999632892805	0.998245456181	0.97128916562	0.978542025922	0.963714217476	0.873374480804	0.947181137447
superkingdom	Main genome;Archaea;Archaea (superkingdom)	Archaea (superkingdom)	0.000977296647121	0.000697471665214	0.00208600770218	0.000312667500447	0.00453268818998	0.00156325156325	0.380702462656	0.122817579771	0.0087489063867	0.00138227614806	0.000800457404231	0.00065274151436	0.000615195324516	0.00166684029586	0.0134965346735	0.014376012966	0.0770406684062	0.030365076299	0.00331904015832	0.0126073659552	0.019971675482	0.000724878431846	0.0	6.43407486046e-05	0.0134709397067	0.000683516842747	0.0172547096872	0.0560482957304	0.0993298197671	0.00681692114559	0.0120590776966	0.00146633078919	0.00251931474639	4.92501662193e-05	0.000726011374178	0.02329594478	0.0443388474043	0.0357257689972	0.0441480158509	0.000438351194885	0.00967446215062	0.000521911881071	0.000135256988278	0.000699904346406	0.00117477704055	0.0121438785612	0.0482561221245	0.0838160136286	0.047151718558	0.0323553544896	0.00430623024543	0.00519235308001	9.43734546347e-05	0.000224531691044	5.5588496887e-05	0.00111052353252	0.00549738943065	0.0314653266765	0.0825519049531	0.103247687564	0.0252896613191	0.00482142857143	0.00133677925319	0.0116490328097	8.27198279428e-05	0.000197621949211	0.000164230579734	0.00512057571878	0.0032154340836	0.00828138085047	0.149479951353	0.104149895029	0.0422729553437	0.00797249853716	0.000900679603701	0.000754261577915	0.000334784064279	0.00767284303322	0.0126429479034	0.0435036135211	0.0846510083212	0.0162296719674	0.0418077265733	0.0116973546207	0.00084185867755	0.000731831927203	0.00024246919215	0.0011972674132	0.000460773285991	0.0218840081453	0.122798446393	0.0367601246106	0.0572824156306	0.00798678585309	0.00222184531886	4.19199329281e-05	0.00359987642215	0.00849490634243	0.0432438576834	0.0549042302953	0.0168331585628	0.0624572967324	0.005787150564	0.00107988980716	0.0012152355821	0.0138164662481	0.0218975001593	0.0428023420149	0.073702845539	0.0705681494831	0.036800276434	0.0185310225823	0.00331908801007	0.00615706319703	0.00030707815139	0.000541633566838	0.000367107195301	0.0015296023034	0.0281464489231	0.0213328141514	0.0362857825241	0.126625519196	0.0528188625534
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum	Proteobacteria superphylum	0.534806795971	0.446381865737	0.529525032092	0.481038949437	0.353049136565	0.304112554113	0.383393890459	0.597431266305	0.580927384077	0.620258024881	0.604230989137	0.543080939948	0.626884035681	0.405458901969	0.497507396749	0.370162074554	0.443820668933	0.45785203786	0.475797806547	0.627244924518	0.506835457672	0.470853846386	0.714155753486	0.560826135212	0.359059517343	0.22897814232	0.52827698052	0.5449454569	0.431335805843	0.501576504248	0.638286589677	0.356713163139	0.55920389654	0.632372134256	0.454671345407	0.321429712715	0.593965486441	0.832464006288	0.526259976559	0.501534229182	0.542608593887	0.668249238177	0.797317403066	0.640482467396	0.615583169251	0.592674073259	0.568790416622	0.534173764906	0.583440711995	0.561683631606	0.627012579283	0.372433325466	0.780392971065	0.764370028227	0.638322709754	0.5941300899	0.615707616232	0.637501752267	0.596475895789	0.56937307297	0.706773618538	0.790892857143	0.598288922556	0.538099818318	0.559599636033	0.399525707322	0.425808835605	0.169705566896	0.43058445243	0.491858192984	0.414459712113	0.57609193225	0.669091821375	0.768943826799	0.599115696389	0.636898476392	0.306439013503	0.514570239164	0.426704786108	0.570865654763	0.556633886234	0.583842387121	0.545363246133	0.444353804918	0.589850112553	0.465072285663	0.266958580557	0.379815479963	0.474894631991	0.628368550499	0.431736570828	0.571367884452	0.52435929967	0.556762534007	0.281004070556	0.346258645986	0.433006031136	0.722362799869	0.566798200744	0.417223611993	0.512279927148	0.500361721796	0.170966159882	0.695977961433	0.620360404153	0.552977900748	0.616273389546	0.535816676762	0.531488375726	0.574188244965	0.560618027446	0.567059294271	0.502266958804	0.274976765799	0.696165361585	0.501029103777	0.597863049695	0.299577109951	0.621078886522	0.642779662903	0.62562694053	0.581596211327	0.611919054397
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria	Terrabacteria	0.135693880619	0.00706190061029	0.0582477535302	0.169175451135	0.44431467423	0.572631072631	0.0898936886018	0.0598033313265	0.128608923885	0.0218092458916	0.0885077186964	0.0314947780679	0.0290679790834	0.413584748411	0.0818303408584	0.324521880065	0.10244853852	0.0711415877922	0.116413787417	0.0289888079125	0.122344576433	0.0404119725754	0.0340195062094	0.186025189403	0.354046713743	0.528462532876	0.172000226291	0.0925614216813	0.0955039364955	0.095349312469	0.050593133789	0.088525021619	0.0540812898892	0.0483513506858	0.170626117587	0.440242226696	0.110096823752	0.0492836983316	0.0637197447489	0.108015780643	0.0407263648599	0.100813172382	0.0339720468891	0.130788792198	0.125386766385	0.122802771972	0.0994169405279	0.078886996025	0.135117317431	0.0861331026989	0.0743514138436	0.0720635669892	0.0260470734792	0.0351873235822	0.163819300326	0.154450907809	0.212713058372	0.0746196232356	0.0866381651983	0.108242548818	0.133578431373	0.0221428571429	0.0455930843953	0.0579245484664	0.00802382331045	0.132703138895	0.245155197898	0.10161574923	0.320975978816	0.274495207965	0.10582490788	0.0724376884343	0.0505519317612	0.0134581626682	0.0145746335872	0.0273042691205	0.38913067738	0.092563872337	0.236340533672	0.141536939197	0.0778981162014	0.0172941812286	0.0346642909209	0.0192285281436	0.0657564832269	0.224506703857	0.601266544957	0.285319388689	0.216238192685	0.0534075582472	0.0648801817427	0.0921835174172	0.08652626237	0.052739992227	0.0494233378562	0.331628589394	0.178959528255	0.116874794611	0.0774427177214	0.198316096031	0.102185551079	0.0146698283831	0.0450711132908	0.0190192837466	0.135168917746	0.0669185200951	0.132277042669	0.0771653543307	0.0862513342532	0.0920990230485	0.0794500937901	0.049666141496	0.0360327136256	0.0292750929368	0.01836711193	0.0198779519029	0.0826957260994	0.140588447004	0.083601871575	0.0960532903154	0.0756422941759	0.0760063662125	0.0588835942818
kingdom	Main genome;Bacteria;Bacteria (superkingdom);FCB group	FCB group	0.225605172155	0.534001743679	0.404685494223	0.313471502591	0.175523483774	0.110149110149	0.115327681335	0.207706201084	0.247302420531	0.353709107664	0.302687249857	0.420855091384	0.325899723162	0.171476195437	0.387062781178	0.223630470016	0.333069766216	0.413482711995	0.390203677744	0.326002082249	0.34636839215	0.478132833973	0.231831933484	0.211906255529	0.264499107628	0.21270746965	0.248109524977	0.262405722979	0.294931355326	0.353516480308	0.289378584335	0.50056397338	0.38032055281	0.30519096752	0.337433953132	0.179704726297	0.225820858194	0.0678253724411	0.346449368384	0.379445863627	0.397433146736	0.220533023553	0.137669071235	0.20245899727	0.23344970796	0.217731822682	0.226227075162	0.267529812606	0.201117736957	0.307076486373	0.274177467597	0.431358665723	0.173779279364	0.189633051065	0.185294989623	0.228803102415	0.148291389265	0.23292752623	0.194652431679	0.198211716341	0.114416221034	0.179821428571	0.350325282952	0.378647002244	0.42542807511	0.461858963802	0.275250451634	0.379718368335	0.229525250615	0.211128687075	0.29008367973	0.202190967783	0.226417461114	0.207431246343	0.383689511177	0.318901795143	0.297734627832	0.366908823769	0.2819356205	0.188380188363	0.254598793336	0.379849658538	0.376026565158	0.520874606689	0.332021741915	0.288162273374	0.107613532634	0.302855834918	0.27719578799	0.241583582366	0.302782324059	0.273237043331	0.282859680284	0.375825884182	0.649983039349	0.294403688954	0.357905624135	0.125731186329	0.283626443221	0.245155509092	0.338125724378	0.421064265906	0.734306032369	0.25732231405	0.223117252873	0.342573871094	0.161502028333	0.297779123763	0.278670172607	0.217743210345	0.298351268635	0.353289819191	0.456233594377	0.624302973978	0.25658298787	0.46831443634	0.309394079913	0.38964369264	0.19642434504	0.220643043889	0.243406462179	0.16536625131	0.264496565382
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Acidobacteria superphylum	Acidobacteria superphylum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
