OTU	D2-May15	D2-Jun15	D2-Jul15	D2-Aug15	D2-Oct15	D2-Nov15	D2-Dec15	D2-Jan16	D2-Feb16	D2-Mar16	D2-Apr16	D2-May16	D2-Jun16	D2-Jul16	D2-Aug16	D2-Sep16	D2-Oct16	D2-Nov16	D2-Dec16	D2-Jan17	D2-Feb17	D2-Mar17	D2-Apr17	D2-May17	D2-Jun17	D2-Jul17	D2-Aug17	D2-Sep17	D2-Oct17	D2-Nov17	D2-Dec17	D2-Jan18	D2-Feb18	D2-Mar18	D2-Apr18	D2-May18	D2-Jun18	D2-Aug18	D2-Sep18	D2-Oct18	D2-Nov18	D2-Dec18	D2-Jan19	D2-Feb19	D2-Apr19	D2-May19	D2-Jun19	D2-Jul19_STR	D2-Aug19	D2-Sep19	D2-Oct19	D2-Nov19	D2-Dec19	D2-Jan20	D2-Feb20	D2-Apr20	D2-May20	D2-Jun20	D2-Jul20	D2-Aug20	D2-Sep20	D2-Oct20	D2-Nov20	D2-Dec20	D2-Jan21	D2-Feb21	LUR20-Feb15	LUR20-Mar15	LUR20-Apr15	LUR20-May15	LUR20-Jun15	LUR20-Jul15	LUR20-Aug15	LUR20-Sep15	LUR20-Oct15	LUR20-Nov15	LUR20-Jan16	LUR20-Feb16	LUR20-Mar16	LUR20-Abr16	LUR20-May16	LUR20-Jun16	LUR20-Jul16	LUR20-Aug16	LUR20-Sep16	LUR20-Nov16	LUR20-Dec16	LUR20-Jan17	LUR20-Feb17	LUR20-Mar17	LUR20-Apr17	LUR20_May17	LUR20-Jun17	LUR20-Jul17	LUR20-Aug17	LUR20-Sep17	LUR20-Oct17	LUR20-Nov17	LUR20-Jan18	LUR20-Feb18	LUR20-Mar18	LUR20-Apr18	LUR20-May18	LUR20-Jun18	LUR20-Jul18	LUR20-Aug18	LUR20-Sep18	LUR20-Oct18	LUR20-Nov18	LUR20-Feb19	LUR20-Mar19	LUR20-Apr19	LUR20-Jul19_STR	LUR20-Aug19	LUR20-Sep19	LUR20-Oct19	LUR20-Nov19	LUR20-Dec19	LUR20-Jan20	LUR20-Feb20	LUR20-Mar20	LUR20-Apr20	LUR20-May20	LUR20-Jun20	LUR20-Jul20	LUR20-Aug20	LUR20-Sep20	LUR20-Oct20	LUR20-Nov20	LUR20-Dec20	LUR20-Jan21	LUR20-Feb21	classification
SWARM_3782	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	17	0	0	1	1	0	0	0	0	4	26	0	1	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	11	0	0	1	0	1	0	1	7	0	0	22	0	0	0	0	0	0	Main genome;Eukaryota;Hacrobia;Haptophyta kingdom incertae sedis;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiales X;Chrysocampanula;Chrysocampanula spinifera
SWARM_3787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa-lineage X;Protaspa-lineage X sp.
SWARM_1415	2	0	2	0	1	2	8	0	4	7	63	0	0	0	9	0	0	3	12	11	1	0	8	16	0	0	0	0	0	3	0	0	0	26	0	59	5	0	0	0	0	0	0	0	18	6	0	1	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	2	1	0	8	3	35	4	2	0	0	0	1	42	7	1	0	143	7	0	33	14	0	14	3	17	2	9	9	147	146	46	3	0	1	0	5	6	3	2	0	0	0	0	0	0	4	0	16	7	13	3	0	2	2	1	0	0	1	8	0	2	2	0	0	0	2	4	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Opalozoa;MAST-12;MAST-12A;MAST-12A X;MAST-12A XX
SWARM_1878	0	0	0	0	2	0	0	0	1	0	0	0	0	36	3	3	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	79	0	2	4	21	6	0	0	7	7	1	4	0	0	27	0	0	1	0	0	0	0	0	6	0	0	29	2	0	2	25	0	0	0	0	10	6	0	1	0	1	1	0	0	1	0	11	0	1	0	0	0	0	0	0	0	0	6	8	0	0	4	1	0	0	30	0	16	1	9	2	1	0	0	1	0	1	0	0	28	2	3	0	1	0	Main genome;Eukaryota;Amorphea;Choanoflagellida;Choanoflagellida (phylum);Choanoflagellatea;Acanthoecida;Stephanoecidae Group E
SWARM_1876	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	46	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	326	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Bacillariophyta;Radial-centric-basal-Coscinodiscophyceae;Leptocylindrus;Leptocylindrus aporus genus incertae sedis;Leptocylindrus aporus
SWARM_1874	0	0	0	0	1	0	0	1	0	0	0	0	0	0	30	10	1	0	0	0	0	0	0	0	0	0	106	13	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	39	0	56	9	0	0	0	0	0	0	0	7	0	14	9	0	0	0	0	0	0	0	0	0	0	3	46	0	4	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	6	1	3	9	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadales clade A;Pelagomonadales clade A1
SWARM_5675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	62	0	2	0	0	0	0	Main genome;Eukaryota;Amorphea;Choanoflagellida;Choanoflagellida (phylum);Choanoflagellatea;Craspedida;Monosigidae Group B;Monosigidae Group B X
SWARM_1872	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	7	0	25	0	0	0	0	0	0	0	328	18	0	8	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	3	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II
SWARM_1976	0	0	0	0	92	2	0	0	0	0	0	0	0	0	0	0	17	48	0	0	0	0	0	0	0	0	0	35	0	2	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	0	1	83	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	15	43	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Sagenista;MAST-7;MAST-7D;MAST-7D X;MAST-7D XX;MAST-7D XX sp.
SWARM_1974	0	0	0	0	0	0	0	63	270	10	6	12	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	24	8	2	0	0	0	0	0	0	0	28	34	11	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	8	42	27	0	0	0	1	0	0	0	6	0	55	235	9	56	0	0	0	0	0	0	11	7	26	1	0	0	0	0	0	0	0	0	16	3	3	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	6	10	8	1	0	0	0	0	0	0	0	3	2	30	26	Main genome;Eukaryota;SAR;Stramenopiles;Opalozoa;MAST-3;MAST-3E
