Rank	Taxonpath	Taxon	D2-May15	D2-Jun15	D2-Jul15	D2-Aug15	D2-Oct15	D2-Nov15	D2-Dec15	D2-Jan16	D2-Feb16	D2-Mar16	D2-Apr16	D2-May16	D2-Jun16	D2-Jul16	D2-Aug16	D2-Sep16	D2-Oct16	D2-Nov16	D2-Dec16	D2-Jan17	D2-Feb17	D2-Mar17	D2-Apr17	D2-May17	D2-Jun17	D2-Jul17	D2-Aug17	D2-Sep17	D2-Oct17	D2-Nov17	D2-Dec17	D2-Jan18	D2-Feb18	D2-Mar18	D2-Apr18	D2-May18	D2-Jun18	D2-Aug18	D2-Sep18	D2-Oct18	D2-Nov18	D2-Dec18	D2-Jan19	D2-Feb19	D2-Apr19	D2-May19	D2-Jun19	D2-Jul19_STR	D2-Aug19	D2-Sep19	D2-Oct19	D2-Nov19	D2-Dec19	D2-Jan20	D2-Feb20	D2-Apr20	D2-May20	D2-Jun20	D2-Jul20	D2-Aug20	D2-Sep20	D2-Oct20	D2-Nov20	D2-Dec20	D2-Jan21	D2-Feb21	LUR20-Feb15	LUR20-Mar15	LUR20-Apr15	LUR20-May15	LUR20-Jun15	LUR20-Jul15	LUR20-Aug15	LUR20-Sep15	LUR20-Oct15	LUR20-Nov15	LUR20-Jan16	LUR20-Feb16	LUR20-Mar16	LUR20-Abr16	LUR20-May16	LUR20-Jun16	LUR20-Jul16	LUR20-Aug16	LUR20-Sep16	LUR20-Nov16	LUR20-Dec16	LUR20-Jan17	LUR20-Feb17	LUR20-Mar17	LUR20-Apr17	LUR20_May17	LUR20-Jun17	LUR20-Jul17	LUR20-Aug17	LUR20-Sep17	LUR20-Oct17	LUR20-Nov17	LUR20-Jan18	LUR20-Feb18	LUR20-Mar18	LUR20-Apr18	LUR20-May18	LUR20-Jun18	LUR20-Jul18	LUR20-Aug18	LUR20-Sep18	LUR20-Oct18	LUR20-Nov18	LUR20-Feb19	LUR20-Mar19	LUR20-Apr19	LUR20-Jul19_STR	LUR20-Aug19	LUR20-Sep19	LUR20-Oct19	LUR20-Nov19	LUR20-Dec19	LUR20-Jan20	LUR20-Feb20	LUR20-Mar20	LUR20-Apr20	LUR20-May20	LUR20-Jun20	LUR20-Jul20	LUR20-Aug20	LUR20-Sep20	LUR20-Oct20	LUR20-Nov20	LUR20-Dec20	LUR20-Jan21	LUR20-Feb21
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Main genome	Main genome	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
domain	Main genome;Eukaryota	Eukaryota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
superkingdom	Main genome;Eukaryota;Amorphea	Amorphea	0.0518299304952	0.015465827005	0.0509463464725	0.00301550832855	0.0298172491183	0.00401821591214	0.00220604872162	0.00466959105703	0.0103770534711	0.00683497111822	0.0065350835773	0.00646853146853	0.00942807879966	0.00606017732503	0.00388818223867	0.00179221105077	0.00383456587236	0.00859109824151	0.00519219736087	0.0398472478272	0.000817867253853	0.0103487819204	0.00279462603763	0.0261874110712	0.00382734087155	0.0159681115142	0.00173870520797	0.0042605448485	0.0195604926346	0.0108877417479	0.00506048484264	0.00559854613671	0.00177583094089	0.0561298543017	0.000486401037656	0.0197309542454	0.0119357936617	0.00748021657643	0.0050554697374	0.0182565871292	0.00220367278798	0.0049084200817	0.00222535743895	0.028839704896	0.00295302013423	0.0214294935238	0.0121479845389	0.00825982050529	0.0166877101176	0.0109378326591	0.00419317149163	0.0142731748273	0.00196634446215	0.00324793038854	0.000822368421053	0.0139885522826	0.00349565861752	0.00953974895397	0.022645361555	0.00983079686171	0.00773033536294	0.0454022043099	0.00397715684275	0.00296788878227	0.00235366986683	0.00284756573809	0.00351774480142	0.00224283378431	0.00371625451934	0.00977342099084	0.0124598401845	0.00477421921623	0.0122693396687	0.103259845487	0.013018557549	0.00710623118939	0.00767900172978	0.0109496797098	0.00570270363118	0.00617554208816	0.0170524827708	0.00710399766843	0.00778647902919	0.0103207757594	0.00436535288343	0.00256252358912	0.00180444689115	0.0113262846499	0.00716744675999	0.0183142607657	0.000665090156666	0.00701104859633	0.022949079707	0.00355131031105	0.00130188959976	0.00850915605096	0.0149934915712	0.0131949061525	0.0181988677804	0.0047285917865	0.00425555742203	0.00271446013063	0.0454850058636	0.00695894224078	0.000572082379863	0.00226833128187	0.00252823192314	0.00180150671471	0.00722421430078	0.00505883985996	0.00866534189009	0.0137749417604	0.00527401296405	0.013152991512	0.0128154892244	0.00442126179831	0.0164174502852	0.0019556714472	0.00153323841857	0.00107776150968	0.00112342720192	0.00554601875083	0.00106465184168	0.00467566472367	0.00733930473898	0.0093896713615	0.0753538441092	0.00495382193122	0.00390284409383	0.00227515108425	0.00470991890206	0.0140486106794
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0.0214487402259	0.0380008643576	0.0231043898341	0.00940551407237	0.0716945766641	0.473537178064	0.585489101742	0.377408073743	0.18766454712	0.27075230709	0.0491075644537	0.0909673659674	0.0467368575516	0.0403933220147	0.200682238668	0.243651092353	0.13270336894	0.289144150191	0.529317269076	0.194126942323	0.337800146797	0.0610857830112	0.104746724077	0.0672471034623	0.0601575403379	0.050195722742	0.142763997935	0.0990451367134	0.0533687515093	0.154445979351	0.429964496281	0.500835385157	0.353271968509	0.0984543792588	0.268777106724	0.0180948651974	0.0393743997805	0.0342024156601	0.0025277348687	0.0144759314839	0.376333889816	0.252437738833	0.238753218041	0.307323616496	0.0866219239374	0.139786565687	0.05255760253	0.0425502036231	0.0216620776732	0.0650947413242	0.114617681423	0.216749990459	0.512056796307	0.639056740589	0.224127024291	0.0511517520592	0.00712018944214	0.0153347280335	0.0304576987979	0.0222138198317	0.0748220114142	0.0359159949553	0.06643891495	0.331845669783	0.54914834314	0.368377375683	0.478569370408	0.314893863317	0.120784570615	0.0922898567739	0.11323008485	0.0228764670778	0.0439027565333	0.0332579611833	0.277437927312	0.453646936425	0.365572475578	0.199390290962	0.202308564362	0.0420305551075	0.10583436414	0.210873366688	0.338649331631	0.184299567132	0.233483718696	0.490107467075	0.532097745971	0.282595595486	0.405025900546	0.048393768096	0.0787577593852	0.0216599131271	0.476623780062	0.311827653121	0.35805683678	0.158190684713	0.0960194127951	0.224722548969	0.380995380822	0.452260655525	0.379192563973	0.163709209013	0.0417155302396	0.0720250521921	0.222940503432	0.0235449270266	0.0232597336929	0.479855879463	0.153184982071	0.350370930179	0.0512590806919	0.0475032918059	0.43052445492	0.179118073287	0.241074103953	0.0830766683226	0.141667951287	0.482212702552	0.474811083123	0.265027655767	0.332253594967	0.159910207315	0.00262728599639	0.0157414045697	0.350037485696	0.0641924215117	0.043059339491	0.386686123538	0.198173136807	0.413295414149	0.470368059888	0.178373842233
superkingdom	Main genome;Eukaryota;SAR	SAR	0.723094048653	0.541921343459	0.654764405237	0.948520964963	0.512614990012	0.340840381156	0.248529300852	0.386423820979	0.342935443642	0.193795595241	0.557200868826	0.591608391608	0.557027036942	0.768062629693	0.457215541166	0.44900263455	0.540341198106	0.566456363741	0.189070567986	0.616908085331	0.201027576806	0.232288199592	0.191628542447	0.57249813673	0.503636767882	0.562989306855	0.380857942351	0.759554898373	0.608548659744	0.618292860259	0.441129692997	0.318252432876	0.366472311836	0.369475375325	0.156053666248	0.454692918671	0.853797960397	0.730212411495	0.914057014464	0.850415374666	0.451953255426	0.425088944525	0.451456663709	0.374752580524	0.577986577181	0.53055208916	0.606713183742	0.708570042512	0.787471287099	0.658625186289	0.292275736726	0.584761286876	0.325357564217	0.12721312466	0.102226720648	0.449420633813	0.87744253105	0.567845188285	0.718047540676	0.526987427923	0.553950105934	0.548884136645	0.589435039772	0.334255684734	0.188231650666	0.268859021088	0.25007203573	0.268705957256	0.591212002872	0.276194529232	0.363374248291	0.809230157151	0.838838806262	0.575654795553	0.421117565414	0.293798536023	0.414976053113	0.375125414834	0.320382012436	0.665633569141	0.569741414855	0.571987176373	0.414567502165	0.477581611629	0.396912922698	0.276841937983	0.297213811665	0.455009860852	0.280757577403	0.331495013558	0.145728643216	0.412806460076	0.31025913174	0.277727538198	0.278790358578	0.548119028662	0.640622237935	0.560374367105	0.44288542354	0.19604223345	0.179965283611	0.243495371194	0.844697604289	0.819763395964	0.734897025172	0.927501318797	0.954660374178	0.339174582378	0.456127399283	0.347409658066	0.331302733166	0.523346500557	0.319829110194	0.484369608723	0.342284199608	0.333995694651	0.630761523046	0.264620972248	0.271711751177	0.12579306979	0.0795760934691	0.482899775518	0.957757362411	0.761634612387	0.227755198674	0.547137485259	0.578908897601	0.215299245406	0.390948723272	0.265446142908	0.325140361822	0.305805930254
superkingdom	Main genome;Eukaryota;Hacrobia	Hacrobia	0.200070590791	0.404148916466	0.268220961983	0.0369758759334	0.36412065011	0.177050246833	0.101930764009	0.117224928743	0.148296408061	0.245736773065	0.326187553121	0.290384615385	0.384166697238	0.182536313903	0.330582215541	0.28204025306	0.285792542161	0.128866473623	0.253700516351	0.10819067685	0.336562860438	0.555953346572	0.144782329683	0.320990582018	0.432044848177	0.3683883903	0.472628976609	0.136011628781	0.316590195605	0.209957103388	0.099201567947	0.138424786024	0.165255867641	0.27099883663	0.10155648332	0.497399037924	0.0817670462341	0.227321949188	0.0783597809296	0.116420979322	0.153455759599	0.123369350376	0.1394993673	0.215275392191	0.323042505593	0.231980722062	0.318407710456	0.24022417689	0.173022802988	0.260498722589	0.158847202389	0.144964317063	0.0934117111336	0.0992204967067	0.0491523279352	0.478570431383	0.111168387648	0.406694560669	0.228328576488	0.43977061474	0.354240232101	0.368481658167	0.339384050581	0.25677816705	0.208506245484	0.141955219995	0.185023771791	0.165000217048	0.267897859689	0.589853838929	0.490444023396	0.162721304953	0.104891463534	0.287638967402	0.245771860381	0.2392524059	0.137642106526	0.180076406576	0.224981964341	0.241975251746	0.294295222949	0.204704425123	0.190375840484	0.323459917207	0.244125571778	0.213017222542	0.0992445790134	0.149227566561	0.246212655973	0.453743278643	0.0965858705291	0.538742967087	0.183592637656	0.367772565421	0.317214700193	0.277020302548	0.246468574734	0.162788318928	0.131629215434	0.263052208835	0.262444705751	0.102438272702	0.052102529737	0.0970772442589	0.04147597254	0.0461930719184	0.0195516602056	0.137733377006	0.216199114111	0.216388790351	0.270905951722	0.401802896789	0.216249263406	0.262493961769	0.364158119166	0.21929127339	0.177817172807	0.193145837214	0.116088051692	0.0740198470799	0.229122977831	0.336458470883	0.0381900918692	0.214394813129	0.390600954899	0.378523908061	0.302212771613	0.358595265068	0.397757940627	0.236935655883	0.167186525265	0.187263007397
kingdom	Main genome;Eukaryota;Amorphea;Amoebozoa	Amoebozoa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.90401123052e-05	5.66625743696e-05	0.0	3.66851315162e-05	0.0	0.0	3.58442210155e-05	3.91282231874e-05	0.0	0.0	0.00160653147221	0.0	0.000727211702514	0.0	0.0	0.0027633083471	2.38686270766e-05	0.0	0.0	0.0	0.0	1.60650312465e-05	0.0	0.0	0.0	0.0	0.0	9.1462020396e-05	6.66389004581e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66127315308e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.83548330094e-05	3.6430757274e-05	1.78588968559e-05	0.000396952913823	2.08868559016e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111590537122	0.0	0.000691018368232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000842743974381	0.0	0.000263657456233	0.0	4.88647099065e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kingdom	Main genome;Eukaryota;Amorphea;Choanoflagellida	Choanoflagellida	0.051748479583	0.0142619003519	0.0449485402226	0.0025488225158	0.0267590697216	0.00396081282768	0.00218719360434	0.00462916169722	0.0103770534711	0.00676593100591	0.00375861743319	0.00617715617716	0.00926299570784	0.00591869458593	0.00383036540241	0.00172052260874	0.00346284775208	0.00859109824151	0.00516351118761	0.0380826968659	0.000754954388172	0.00950969149442	0.0025669157679	0.0142286062741	0.000968746029729	0.0159442428871	0.00111385802385	0.00416029673442	0.0176285921275	0.0105605641995	0.00493196459267	0.00551061085708	0.00177583094089	0.0559636585231	0.000486401037656	0.00732744154827	0.0118443316413	0.0066472303207	0.00449375087769	0.0167476412357	0.00197662771285	0.00464488074845	0.00177446802321	0.0283489555217	0.00143176733781	0.01988037351	0.0112109499188	0.00823428782985	0.0160183762569	0.0108047690015	0.00415422562638	0.0142350112583	0.00192494773663	0.00300622394102	0.000506072874494	0.0137651821862	0.00349565861752	0.00859832635983	0.0184371158934	0.0088855279327	0.00698593269836	0.0452925371498	0.00397715684275	0.00296788878227	0.00222979250542	0.00274993491278	0.00351774480142	0.00222836388893	0.00360287726282	0.00964134773421	0.0123156767444	0.00477421921623	0.0116672633189	0.101940832862	0.0100755667506	0.00699476089622	0.00765900432944	0.01093038512	0.00570270363118	0.00440122589119	0.0165370795783	0.00706756691116	0.00696496977382	0.00960248001059	0.00370741692253	0.00251286227926	0.00174327919993	0.0110249808261	0.00710228815308	0.0179006388161	0.000628140703518	0.00257994927557	0.0228843614901	0.0034853708623	0.00119029906264	0.0078622611465	0.0126954537419	0.0127857617757	0.017886291807	0.0047285917865	0.00419956324542	0.00266704597987	0.0331713854917	0.00278357689631	0.000572082379863	0.00203973975734	0.00151693915389	0.00180150671471	0.0046403712297	0.00485833706063	0.00373000618953	0.00638103919781	0.00503830288745	0.0118694362018	0.0123084015213	0.00427223050174	0.0163018344381	0.00181598062954	0.00153323841857	0.000691394176021	0.000936189334931	0.00554601875083	0.000927277410492	0.00467566472367	0.00658959081403	0.00674187303918	0.0747557977274	0.00485781763023	0.00390284409383	0.00223960184856	0.00461634435434	0.013893205694
kingdom	Main genome;Eukaryota;Amorphea;Mesomycetozoa	Mesomycetozoa	8.14509122502e-05	0.00120392665308	0.00599780624985	0.000466685812751	0.00305817939675	5.74030844591e-05	1.88551172788e-05	4.04293598011e-05	0.0	0.0	0.00271980356974	0.000291375291375	0.000128397960307	0.000141482739106	5.78168362627e-05	3.58442210155e-05	0.000332589897093	0.0	2.86861732645e-05	0.00015801948907	6.2912865681e-05	0.000111878723464	0.000227710269733	0.0119588047971	9.52864947275e-05	0.0	0.000624847184113	0.000100248114082	0.00193190050712	0.00032717754835	0.000112455218725	8.79352796342e-05	0.0	0.000166195778627	0.0	0.0124035126972	0.0	0.000766347355269	0.000561718859711	0.00150894589351	0.000227045075125	0.000263539333245	0.000450889415735	0.000490749374295	0.00152125279642	0.00154912001377	0.000937034620083	2.55326754414e-05	0.000669333860687	0.000106450926123	3.89458652473e-05	3.8163569057e-05	4.1396725519e-05	0.000241706447519	0.000316295546559	0.000223370096328	0.0	0.000941422594142	0.00420824566155	0.00094526892901	0.00074440266458	0.000109667160169	0.0	0.0	0.000123877361412	9.76308253059e-05	0.0	1.44698953827e-05	0.000113377256522	0.000132073256633	0.000144163440152	0.0	0.00060207634979	0.00131901262484	0.00294299079833	0.000111470293167	1.9997400338e-05	1.9294589797e-05	0.0	0.00177431619697	0.000427048359545	0.0	0.000803650358517	0.000321342835	0.000637049104998	4.96613098667e-05	6.11676912255e-05	0.000301303823819	6.5158606909e-05	0.000413621949538	3.69494531481e-05	0.00443109932076	6.47182168837e-05	6.59394487462e-05	0.0	0.000646894904459	0.00160701946101	0.000409144376822	0.000312575973327	0.0	5.59941766056e-05	4.74141507533e-05	0.0123136203719	0.00417536534447	0.0	0.00022859152453	0.000168548794876	0.0	0.00232018561485	0.000200502799328	0.00488647099065	0.00739390256254	0.000235710076606	0.00128355531019	0.000507087703123	0.000149031296572	0.000115615847079	0.000139690817657	0.0	0.000386367333659	0.000187237866986	0.0	0.000137374431184	0.0	0.00074971392495	0.00264779832232	0.000598046381819	9.60043009927e-05	0.0	3.55492356914e-05	9.3574547723e-05	0.000155404985392
