TYPE	ACCESSION	ALIAS
SAMPLE	ERS12471428	D2-May15
SAMPLE	ERS12471429	D2-Jun15
SAMPLE	ERS12471430	D2-Jul15
SAMPLE	ERS12471431	D2-Aug15
SAMPLE	ERS12471432	D2-Oct15
SAMPLE	ERS12471433	D2-Nov15
SAMPLE	ERS12471434	D2-Dec15
SAMPLE	ERS12471435	D2-Jan16
SAMPLE	ERS12471436	D2-Feb16
SAMPLE	ERS12471437	D2-Mar16
SAMPLE	ERS12471438	D2-Apr16
SAMPLE	ERS12471439	D2-May16
SAMPLE	ERS12471440	D2-Jun16
SAMPLE	ERS12471441	D2-Jul16
SAMPLE	ERS12471442	D2-Aug16
SAMPLE	ERS12471443	D2-Sep16
SAMPLE	ERS12471444	D2-Oct16
SAMPLE	ERS12471445	D2-Nov16
SAMPLE	ERS12471446	D2-Dec16
SAMPLE	ERS12471447	D2-Jan17
SAMPLE	ERS12471448	D2-Feb17
SAMPLE	ERS12471449	D2-Mar17
SAMPLE	ERS12471450	D2-Apr17
SAMPLE	ERS12471451	D2-May17
SAMPLE	ERS12471452	D2-Jun17
SAMPLE	ERS12471453	D2-Jul17
SAMPLE	ERS12471454	D2-Aug17
SAMPLE	ERS12471455	D2-Sep17
SAMPLE	ERS12471456	D2-Oct17
SAMPLE	ERS12471457	D2-Nov17
SAMPLE	ERS12471458	D2-Dec17
SAMPLE	ERS12471459	D2-Jan18
SAMPLE	ERS12471460	D2-Feb18
SAMPLE	ERS12471461	D2-Mar18
SAMPLE	ERS12471462	D2-Apr18
SAMPLE	ERS12471463	D2-May18
SAMPLE	ERS12471464	D2-Jun18
SAMPLE	ERS12471465	D2-Jul18
SAMPLE	ERS12471466	D2-Aug18
SAMPLE	ERS12471467	D2-Sep18
SAMPLE	ERS12471468	D2-Oct18
SAMPLE	ERS12471469	D2-Nov18
SAMPLE	ERS12471470	D2-Dec18
SAMPLE	ERS12471471	D2-Jan19
SAMPLE	ERS12471472	D2-Feb19
SAMPLE	ERS12471473	D2-Apr19
SAMPLE	ERS12471474	D2-May19
SAMPLE	ERS12471475	D2-Jun19
SAMPLE	ERS12471476	D2-Jul19_STR
SAMPLE	ERS12471477	D2-Aug19
SAMPLE	ERS12471478	D2-Sep19
SAMPLE	ERS12471479	D2-Oct19
SAMPLE	ERS12471480	D2-Nov19
