Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
D2-May15,D2 timepoint 4,ERS12471428,1,1,D2-May15,D2-May15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202104,515..926,D2,Offshore,None,NA,2015-05-11,Sp,2015
D2-Jun15,D2 timepoint 5,ERS12471429,1,1,D2-Jun15,D2-Jun15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202104,515..926,D2,Offshore,None,NA,2015-06-15,Su,2015
D2-Jul15,D2 timepoint 6,ERS12471430,1,1,D2-Jul15,D2-Jul15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2015-07-15,Su,2015
D2-Aug15,D2 timepoint 7,ERS12471431,1,1,D2-Aug15,D2-Aug15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202104,515..926,D2,Offshore,None,NA,2015-08-15,Su,2015
D2-Oct15,D2 timepoint 8,ERS12471432,1,1,D2-Oct15,D2-Oct15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202104,515..926,D2,Offshore,None,NA,2015-10-21,Au,2015
D2-Nov15,D2 timepoint 9,ERS12471433,1,1,D2-Nov15,D2-Nov15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2015-11-15,Au,2015
D2-Dec15,D2 timepoint 10,ERS12471434,1,1,D2-Dec15,D2-Dec15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2015-12-15,Wi,2016
D2-Jan16,D2 timepoint 11,ERS12471435,1,1,D2-Jan16,D2-Jan16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2016-01-15,Wi,2016
D2-Feb16,D2 timepoint 12,ERS12471436,1,1,D2-Feb16,D2-Feb16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2016-02-26,Wi,2016
D2-Mar16,D2 timepoint 13,ERS12471437,1,1,D2-Mar16,D2-Mar16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2016-03-15,Sp,2016
D2-Apr16,D2 timepoint 14,ERS12471438,1,1,D2-Apr16,D2-Apr16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202104,515..926,D2,Offshore,None,NA,2016-04-15,Sp,2016
D2-May16,D2 timepoint 15,ERS12471439,1,1,D2-May16,D2-May16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2016-05-03,Sp,2016
